id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
4ciDMtbMEBpcu7Hji0Jnky,Jodi Hay Jibanopurano,Srikanta Acharya,3,2014,0.511,0.41,11,-5.484,0.0291,0.8,0,0.418,0.254,124.27,229.721,4
38nM33Kpq3xi7ATFonPmn1,Jete Jete Ekla,Srikanta Acharya,2,2014,0.504,0.589,6,-4.767,0.0335,0.532,0,0.317,0.683,136.254,155.873,4
2CdOYSc7quupacWZ6tB6Mq,Eso Eso Phire,Srikanta Acharya,3,2014,0.363,0.264,8,-8.896,0.0321,0.941,0.000372,0.102,0.182,112.972,248.738,3
4F4ocenairqQfz06x6i4XE,Ei To Tomar Prem,Srikanta Acharya,17,2014,0.57,0.656,6,-4.973,0.0279,0.785,0,0.205,0.73,106.904,209.241,4
3ufvI1i14N98ridKr9Wm2z,Nayon Tomare Pay Na,Srikanta Acharya,1,2014,0.569,0.516,4,-5.93,0.0321,0.858,0.00000991,0.196,0.385,125.8,391.785,3
5I2SMmiG2iN3VntzA1b3g0,Tumi Sandhyar Meghomala,Srikanta Acharya,30,2014,0.515,0.441,6,-5.795,0.0292,0.658,0.00000407,0.178,0.303,112.531,214.152,3
7sJt9RsuFFrSyutA0XkzUf,Aj Akasher Moner,Srikanta Acharya,1,2014,0.36,0.419,7,-7.873,0.0306,0.777,0.000537,0.234,0.403,127.051,255.112,3
1YVxd1fpD6REhfeLwKnMf5,Amar Praner Pore,Srikanta Acharya,3,2014,0.292,0.283,11,-7.762,0.0296,0.909,0,0.109,0.286,106.031,268.852,3
7MVSBxf4ewElA3J9JBzfHG,Anek Diner Sunyata,Srikanta Acharya,0,1999,0.385,0.349,11,-13.213,0.031,0.785,0,0.162,0.61,166.321,215.278,1
5wQbY22pOVnGLQy7IpsOaY,Charanadhwani Shuni,Srikanta Acharya,0,1999,0.454,0.171,5,-15.501,0.0342,0.872,0,0.218,0.181,108.272,244.267,5
4jzp3y6F8EAtMZx62F90zv,Dhara Diyechi,Srikanta Acharya,0,1999,0.426,0.264,5,-15.018,0.0318,0.882,0,0.135,0.336,145.035,188.342,3
