id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
1eSxUPmqYTyu54Th8B038G,Shyam Kalia,Mst Saedun Nesa,Not Popular,2021,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Long,Simple
4Y3jXGyJ7oEiQ8MV8LtRmX,Doyal Baba,Kaya,Kind of Popular,2003,Mid-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
2iqOWdXSPcaQJ3HeDNWX9p,Mon Juraiya,Bilal Shahid,Kind of Popular,2019,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
5kT95c7cZOJPml4UFSDERK,Pagal Maan,Mithun Saha,Kind of Popular,2022,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
5kT95c7cZOJPml4UFSDERK,Pagal Maan,Mithun Saha,Kind of Popular,2022,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
16OGWIJAxn1c3sOhqRY9Pf,Jakhan Keu Amake Pagol Bale (Live),Manna Dey,Not Popular,1988,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Long,Simple
3xROI2CI1ldjaKYWdTDkFM,Ami Aaj Akasher Mato Ekela,Manna Dey,Not Popular,1982,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
3USQTZVBn4OsLBqVD4AaAZ,Ki Dekhle Tumi Amate,Manna Dey,Not Popular,1982,No-dance,Low Energy,Non-enharmonic,Quiet,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
4g2uXxGfbda6wa64YnIywv,Tumi Noy Nai Kachhe Aasle,Manna Dey,Not Popular,1982,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
5urpOKLjm0CT5Gm58iU2KD,Amar Ekdike Shudu Tumi,Manna Dey,Not Popular,1982,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
61dX40l6DE2e2Kdjhcfl15,Tumi Aar Deko Na,Manna Dey,Not Popular,1982,No-dance,Low Energy,Non-enharmonic,Normal,No Speech,Acoustic,Instrumental,Recorded,Negative,Slow,Medium,Simple
